ID,Year,Geography,Revenue,Number of Purchases,Average Spend
10015,2023,Fictional Region,7978.17,63,126.64
10016,2020,Fictional Region,10375.57,25,415.02
10016,2021,Fictional Region,9585.19,30,319.51
10016,2022,Fictional Region,9082.4,24,378.43
10016,2023,Fictional Region,9081.49,28,324.34
10017,2020,Fictional Region,18326.09,18,1018.12
10017,2021,Fictional Region,15972.76,19,840.67
10017,2022,Fictional Region,17727.07,15,1181.8
10017,2023,Fictional Region,17170.19,15,1144.68
10018,2020,Fictional Region,13634.26,34,401.01
10018,2021,Fictional Region,14854.78,33,450.14
10018,2022,Fictional Region,15739.4,40,393.48
10018,2023,Fictional Region,19069.35,42,454.03
10019,2020,Fictional Region,9752.44,60,162.54
10019,2021,Fictional Region,9811.12,64,153.3
10019,2022,Fictional Region,9933.65,64,155.21
10019,2023,Fictional Region,8873.94,60,147.9
10020,2020,Fictional Region,16250.76,26,625.03
10020,2021,Fictional Region,17327.46,23,753.37
10020,2022,Fictional Region,15396.8,25,615.87
10020,2023,Fictional Region,15371.99,23,668.35
10021,2020,Fictional Region,4191.25,23,182.23
10021,2021,Fictional Region,4334.54,18,240.81
10021,2022,Fictional Region,4166.3,15,277.75
10021,2023,Fictional Region,3601.16,19,189.53
10022,2020,Fictional Region,6060.73,27,224.47
10022,2021,Fictional Region,6715.57,30,223.85
10022,2022,Fictional Region,5928.68,40,148.22
10022,2023,Fictional Region,6023.67,40,150.59
10023,2020,Fictional Region,4491.71,59,76.13
10023,2021,Fictional Region,5169.84,55,94.0
10023,2022,Fictional Region,6254.29,60,104.24
10023,2023,Fictional Region,5112.48,67,76.31
10024,2020,Fictional Region,7490.24,27,277.42
10024,2021,Fictional Region,7224.09,26,277.85
10024,2022,Fictional Region,7614.31,24,317.26
10024,2023,Fictional Region,7117.86,24,296.58
10025,2020,Fictional Region,4403.61,12,366.97
10025,2021,Fictional Region,4281.03,18,237.83
10025,2022,Fictional Region,4931.48,19,259.55
10025,2023,Fictional Region,4199.6,10,419.96
10026,2020,Fictional Region,12195.3,32,381.1
10026,2021,Fictional Region,13353.73,33,404.66
10026,2022,Fictional Region,11578.72,35,330.82
10026,2023,Fictional Region,10878.38,40,271.96
10027,2020,Fictional Region,6720.48,52,129.24
10027,2021,Fictional Region,7140.19,61,117.05
10027,2022,Fictional Region,5172.06,62,83.42
10027,2023,Fictional Region,5399.12,60,89.99
10028,2020,Fictional Region,4194.07,18,233.0
10028,2021,Fictional Region,3996.13,22,181.64
10028,2022,Fictional Region,3920.47,29,135.19
10028,2023,Fictional Region,3347.48,17,196.91
10029,2020,Fictional Region,7620.43,17,448.26
10029,2021,Fictional Region,9275.71,13,713.52
10029,2022,Fictional Region,8529.28,18,473.85
10029,2023,Fictional Region,8859.35,13,681.49
10030,2020,Fictional Region,9171.47,35,262.04
10030,2021,Fictional Region,9002.45,38,236.91
10030,2022,Fictional Region,8468.79,44,192.47
10030,2023,Fictional Region,7496.71,39,192.22
10031,2020,Fictional Region,12221.85,59,207.15
10031,2021,Fictional Region,11404.44,55,207.35
10031,2022,Fictional Region,9759.19,64,152.49
10031,2023,Fictional Region,10255.69,59,173.83
10032,2020,Fictional Region,28387.2,23,1234.23
10032,2021,Fictional Region,29848.61,25,1193.94
10032,2022,Fictional Region,28489.14,20,1424.46
10032,2023,Fictional Region,31213.14,26,1200.51
10033,2020,Fictional Region,41011.24,21,1952.92
10033,2021,Fictional Region,48262.93,18,2681.27
10033,2022,Fictional Region,41030.76,11,3730.07
10033,2023,Fictional Region,44463.08,15,2964.21
10034,2020,Fictional Region,11164.73,36,310.13
10034,2021,Fictional Region,8227.12,30,274.24
10034,2022,Fictional Region,8162.05,35,233.2
10034,2023,Fictional Region,8225.68,43,191.29
10035,2020,Fictional Region,6108.49,59,103.53
10035,2021,Fictional Region,5534.69,60,92.24
10035,2022,Fictional Region,6311.45,66,95.63
10035,2023,Fictional Region,5319.3,62,85.8
10036,2020,Fictional Region,3446.98,27,127.67
10036,2021,Fictional Region,4103.53,33,124.35
10036,2022,Fictional Region,3708.41,24,154.52
10036,2023,Fictional Region,4062.1,23,176.61
10037,2020,Fictional Region,12969.8,19,682.62
10037,2021,Fictional Region,13204.33,18,733.57
10037,2022,Fictional Region,13181.44,14,941.53
10037,2023,Fictional Region,16043.94,12,1337.0
10038,2020,Fictional Region,6145.11,41,149.88
10038,2021,Fictional Region,5484.99,37,148.24
10038,2022,Fictional Region,5376.07,36,149.34
10038,2023,Fictional Region,5841.77,43,135.86
10039,2020,Fictional Region,7348.63,58,126.7
10039,2021,Fictional Region,6470.28,58,111.56
10039,2022,Fictional Region,7285.37,62,117.51
10039,2023,Fictional Region,7124.65,57,124.99
10040,2020,Fictional Region,6917.27,26,266.05
10040,2021,Fictional Region,8337.15,31,268.94
10040,2022,Fictional Region,9521.14,26,366.2
10040,2023,Fictional Region,8355.67,24,348.15
10041,2020,Fictional Region,9225.75,16,576.61
10041,2021,Fictional Region,8945.08,16,559.07
10041,2022,Fictional Region,10791.9,15,719.46
10041,2023,Fictional Region,9264.27,14,661.73
10042,2020,Fictional Region,13044.18,37,352.55
10042,2021,Fictional Region,13872.11,31,447.49
10042,2022,Fictional Region,14874.84,41,362.8
10042,2023,Fictional Region,12881.64,39,330.3
10043,2020,Fictional Region,9686.11,59,164.17
10043,2021,Fictional Region,8501.91,56,151.82
10043,2022,Fictional Region,8563.8,64,133.81
10043,2023,Fictional Region,9821.52,65,151.1
10044,2020,Fictional Region,7100.52,28,253.59
10044,2021,Fictional Region,6442.03,20,322.1
10044,2022,Fictional Region,7252.09,27,268.6
10044,2023,Fictional Region,6560.08,26,252.31
10045,2020,Fictional Region,6211.34,13,477.8
10045,2021,Fictional Region,6048.54,17,355.8
10045,2022,Fictional Region,6320.09,17,371.77
10045,2023,Fictional Region,5402.55,17,317.8
10046,2020,Fictional Region,4303.37,35,122.95
10046,2021,Fictional Region,4257.99,37,115.08
10046,2022,Fictional Region,4482.4,42,106.72
10046,2023,Fictional Region,4192.58,44,95.29
10047,2020,Fictional Region,6488.33,49,132.41
10047,2021,Fictional Region,7211.22,58,124.33
10047,2022,Fictional Region,7332.05,60,122.2
10047,2023,Fictional Region,7675.15,56,137.06
10048,2020,Fictional Region,9237.37,25,369.49
10048,2021,Fictional Region,7754.01,29,267.38
10048,2022,Fictional Region,7683.34,22,349.24
10048,2023,Fictional Region,8284.42,26,318.63
10049,2020,Fictional Region,18866.92,15,1257.79
10049,2021,Fictional Region,20616.47,15,1374.43
10049,2022,Fictional Region,20743.9,20,1037.2
10049,2023,Fictional Region,19242.44,13,1480.19
10050,2020,Fictional Region,10741.14,35,306.89
10050,2021,Fictional Region,12132.34,30,404.41
10050,2022,Fictional Region,9769.82,44,222.04
10050,2023,Fictional Region,10552.73,42,251.26
10051,2020,Fictional Region,13035.94,57,228.7
10051,2021,Fictional Region,13072.79,61,214.31
10051,2022,Fictional Region,14856.85,56,265.3
10051,2023,Fictional Region,14279.46,65,219.68
10052,2020,Fictional Region,8240.32,24,343.35
10052,2021,Fictional Region,8324.09,24,346.84
10052,2022,Fictional Region,7058.0,24,294.08
10052,2023,Fictional Region,6708.19,23,291.66
10053,2020,Fictional Region,5696.11,20,284.81
10053,2021,Fictional Region,6049.43,18,336.08
10053,2022,Fictional Region,6500.43,18,361.14
10053,2023,Fictional Region,5823.3,15,388.22
10054,2020,Fictional Region,5715.15,36,158.75
10054,2021,Fictional Region,7162.74,35,204.65
10054,2022,Fictional Region,7058.35,45,156.85
10054,2023,Fictional Region,6618.13,35,189.09
10055,2020,Fictional Region,6950.96,62,112.11
10055,2021,Fictional Region,6448.47,63,102.36
10055,2022,Fictional Region,6371.46,57,111.78
10055,2023,Fictional Region,6070.44,68,89.27
10056,2020,Fictional Region,21217.11,28,757.75
10056,2021,Fictional Region,26673.33,28,952.62
10056,2022,Fictional Region,27195.07,25,1087.8
10056,2023,Fictional Region,26320.15,24,1096.67
10057,2020,Fictional Region,5975.19,17,351.48
10057,2021,Fictional Region,6632.99,18,368.5
10057,2022,Fictional Region,6479.01,20,323.95
10057,2023,Fictional Region,5739.06,16,358.69
10058,2020,Fictional Region,16195.3,31,522.43
10058,2021,Fictional Region,17593.68,38,462.99
10058,2022,Fictional Region,18658.77,41,455.09
10058,2023,Fictional Region,19319.21,42,459.98
10059,2020,Fictional Region,7695.97,60,128.27
10059,2021,Fictional Region,8004.57,58,138.01
10059,2022,Fictional Region,7199.99,57,126.32
10059,2023,Fictional Region,8461.24,58,145.88
10060,2020,Fictional Region,13353.0,20,667.65
10060,2021,Fictional Region,13235.65,26,509.06
10060,2022,Fictional Region,15002.4,25,600.1
10060,2023,Fictional Region,15001.99,24,625.08
10061,2020,Fictional Region,9807.38,9,1089.71
10061,2021,Fictional Region,9904.03,13,761.85
10061,2022,Fictional Region,9394.98,19,494.47
10061,2023,Fictional Region,8757.16,13,673.63
10062,2020,Fictional Region,7481.84,35,213.77
10062,2021,Fictional Region,7524.72,32,235.15
10062,2022,Fictional Region,7291.69,42,173.61
10062,2023,Fictional Region,6211.15,40,155.28
10063,2020,Fictional Region,8912.33,59,151.06
10063,2021,Fictional Region,10645.19,66,161.29
10063,2022,Fictional Region,11136.14,65,171.33
10063,2023,Fictional Region,11281.98,60,188.03
10064,2020,Fictional Region,6631.25,23,288.32
10064,2021,Fictional Region,7048.43,24,293.68
10064,2022,Fictional Region,6950.68,27,257.43
10064,2023,Fictional Region,6830.83,25,273.23
10065,2020,Fictional Region,13512.4,17,794.85
10065,2021,Fictional Region,11889.33,21,566.16
10065,2022,Fictional Region,13816.26,16,863.52
10065,2023,Fictional Region,12035.58,22,547.07
10066,2020,Fictional Region,6026.68,34,177.26
10066,2021,Fictional Region,6401.15,41,156.13
10066,2022,Fictional Region,5475.76,39,140.4
10066,2023,Fictional Region,5020.86,43,116.76
10067,2020,Fictional Region,6225.25,56,111.17
10067,2021,Fictional Region,6439.19,56,114.99
10067,2022,Fictional Region,5593.02,61,91.69
10067,2023,Fictional Region,6904.99,64,107.89
10068,2020,Fictional Region,5376.5,25,215.06
10068,2021,Fictional Region,6096.76,21,290.32
10068,2022,Fictional Region,5286.99,21,251.76
10068,2023,Fictional Region,5669.34,21,269.97
10069,2020,Fictional Region,9350.55,13,719.27
10069,2021,Fictional Region,8526.4,17,501.55
10069,2022,Fictional Region,7120.48,19,374.76
10069,2023,Fictional Region,6710.04,15,447.34
10070,2020,Fictional Region,17392.36,27,644.16
10070,2021,Fictional Region,17992.2,35,514.06
10070,2022,Fictional Region,15247.02,38,401.24
10070,2023,Fictional Region,14700.34,46,319.57
10071,2020,Fictional Region,8423.74,54,156.0
10071,2021,Fictional Region,8987.45,58,154.96
10071,2022,Fictional Region,9729.87,65,149.69
10071,2023,Fictional Region,9866.02,62,159.13
10072,2020,Fictional Region,8410.09,27,311.48
10072,2021,Fictional Region,8274.94,25,331.0
10072,2022,Fictional Region,9213.74,26,354.37
10072,2023,Fictional Region,7812.15,27,289.34
10073,2020,Fictional Region,9659.03,16,603.69
10073,2021,Fictional Region,11646.86,20,582.34
10073,2022,Fictional Region,9763.63,12,813.64
10073,2023,Fictional Region,8793.84,16,549.62
10074,2020,Fictional Region,16513.21,35,471.81
10074,2021,Fictional Region,15003.33,34,441.27
10074,2022,Fictional Region,16954.52,38,446.17
10074,2023,Fictional Region,16844.68,38,443.28
10075,2020,Fictional Region,9650.07,55,175.46
10075,2021,Fictional Region,9144.24,58,157.66
10075,2022,Fictional Region,9811.29,57,172.13
10075,2023,Fictional Region,9091.82,62,146.64
10076,2020,Fictional Region,7769.22,22,353.15
10076,2021,Fictional Region,7960.14,27,294.82
10076,2022,Fictional Region,8000.46,21,380.97
10076,2023,Fictional Region,8183.76,23,355.82
10077,2020,Fictional Region,15642.5,16,977.66
10077,2021,Fictional Region,17720.5,21,843.83
10077,2022,Fictional Region,20205.27,17,1188.55
10077,2023,Fictional Region,20773.48,14,1483.82
10078,2020,Fictional Region,8729.14,35,249.4
10078,2021,Fictional Region,7596.61,30,253.22
10078,2022,Fictional Region,7374.91,38,194.08
10078,2023,Fictional Region,5211.23,46,113.29
10079,2020,Fictional Region,17833.21,58,307.47
10079,2021,Fictional Region,15579.06,59,264.05
10079,2022,Fictional Region,16065.37,62,259.12
10079,2023,Fictional Region,18338.94,64,286.55
10080,2020,Fictional Region,11482.72,19,604.35
10080,2021,Fictional Region,10292.3,20,514.62
10080,2022,Fictional Region,9559.03,26,367.66
10080,2023,Fictional Region,10122.14,23,440.09
10081,2020,Fictional Region,6109.29,22,277.7
10081,2021,Fictional Region,5749.53,16,359.35
10081,2022,Fictional Region,5699.93,10,569.99
10081,2023,Fictional Region,5743.33,11,522.12
10082,2020,Fictional Region,5443.78,26,209.38
10082,2021,Fictional Region,4777.41,35,136.5
10082,2022,Fictional Region,4396.74,37,118.83
10082,2023,Fictional Region,4913.15,39,125.98
10083,2020,Fictional Region,15807.43,61,259.14
10083,2021,Fictional Region,15088.33,63,239.5
10083,2022,Fictional Region,12236.55,59,207.4
10083,2023,Fictional Region,12897.05,55,234.49
10084,2020,Fictional Region,22567.74,27,835.84
10084,2021,Fictional Region,21926.03,27,812.08
10084,2022,Fictional Region,20026.48,26,770.25
10084,2023,Fictional Region,20638.54,28,737.09
10085,2020,Fictional Region,10141.88,15,676.13
10085,2021,Fictional Region,10172.77,23,442.29
10085,2022,Fictional Region,11086.39,13,852.8
10085,2023,Fictional Region,12502.63,17,735.45
10086,2020,Fictional Region,7092.09,29,244.55
10086,2021,Fictional Region,6506.88,33,197.18
10086,2022,Fictional Region,5491.07,43,127.7
10086,2023,Fictional Region,6261.33,39,160.55
10087,2020,Fictional Region,18718.66,61,306.86
10087,2021,Fictional Region,18729.9,60,312.17
10087,2022,Fictional Region,19289.33,60,321.49
10087,2023,Fictional Region,21002.57,65,323.12
10088,2020,Fictional Region,4795.57,24,199.82
10088,2021,Fictional Region,5382.52,20,269.13
10088,2022,Fictional Region,4668.21,23,202.97
10088,2023,Fictional Region,5365.55,27,198.72
10089,2020,Fictional Region,6079.91,19,320.0
10089,2021,Fictional Region,6506.43,12,542.2
10089,2022,Fictional Region,6048.43,14,432.03
10089,2023,Fictional Region,6180.96,13,475.46
10090,2020,Fictional Region,10108.08,33,306.31
10090,2021,Fictional Region,11216.14,32,350.5
10090,2022,Fictional Region,10645.89,36,295.72
10090,2023,Fictional Region,9660.97,38,254.24
10091,2020,Fictional Region,7047.88,60,117.46
10091,2021,Fictional Region,7703.76,61,126.29
10091,2022,Fictional Region,6748.78,60,112.48
10091,2023,Fictional Region,7099.22,60,118.32
10092,2020,Fictional Region,10633.21,25,425.33
10092,2021,Fictional Region,11279.64,23,490.42
10092,2022,Fictional Region,11583.21,22,526.51
10092,2023,Fictional Region,12203.86,22,554.72
10093,2020,Fictional Region,8729.59,16,545.6
10093,2021,Fictional Region,9264.69,14,661.76
10093,2022,Fictional Region,8803.21,16,550.2
10093,2023,Fictional Region,9910.78,17,582.99
10094,2020,Fictional Region,12448.27,29,429.25
10094,2021,Fictional Region,11855.25,36,329.31
10094,2022,Fictional Region,13280.77,37,358.94
10094,2023,Fictional Region,15082.63,41,367.87
10095,2020,Fictional Region,19149.31,58,330.16
10095,2021,Fictional Region,19260.21,55,350.19
10095,2022,Fictional Region,21038.01,56,375.68
10095,2023,Fictional Region,20951.92,61,343.47
10096,2020,Fictional Region,10551.59,28,376.84
10096,2021,Fictional Region,9948.23,18,552.68
10096,2022,Fictional Region,9908.64,26,381.1
10096,2023,Fictional Region,10359.63,29,357.23
10097,2020,Fictional Region,16232.49,18,901.8
10097,2021,Fictional Region,15791.84,19,831.15
10097,2022,Fictional Region,17432.81,14,1245.2
10097,2023,Fictional Region,18552.46,15,1236.83
10098,2020,Fictional Region,3765.4,29,129.84
10098,2021,Fictional Region,4356.07,29,150.21
10098,2022,Fictional Region,3808.72,41,92.9
10098,2023,Fictional Region,3969.13,37,107.27
10099,2020,Fictional Region,9037.23,57,158.55
10099,2021,Fictional Region,9910.56,55,180.19
10099,2022,Fictional Region,10509.2,56,187.66
10099,2023,Fictional Region,10619.44,60,176.99
10100,2020,Fictional Region,6512.17,23,283.14
10100,2021,Fictional Region,6208.61,26,238.79
10100,2022,Fictional Region,5837.91,26,224.54
10100,2023,Fictional Region,5912.25,26,227.39
10101,2020,Fictional Region,5480.56,19,288.45
10101,2021,Fictional Region,4760.93,22,216.41
10101,2022,Fictional Region,5249.01,13,403.77
10101,2023,Fictional Region,5429.94,15,362.0
10102,2020,Fictional Region,5978.01,37,161.57
10102,2021,Fictional Region,5801.59,40,145.04
10102,2022,Fictional Region,5638.74,34,165.85
10102,2023,Fictional Region,5456.38,39,139.91
10103,2020,Fictional Region,8891.06,62,143.4
10103,2021,Fictional Region,9630.44,61,157.88
10103,2022,Fictional Region,9845.06,61,161.39
10103,2023,Fictional Region,9395.07,60,156.58
10104,2020,Fictional Region,12262.17,24,510.92
10104,2021,Fictional Region,11010.79,26,423.49
10104,2022,Fictional Region,11673.73,24,486.41
10104,2023,Fictional Region,10554.13,25,422.17
10105,2020,Fictional Region,5246.53,18,291.47
10105,2021,Fictional Region,5707.04,15,380.47
10105,2022,Fictional Region,5937.55,18,329.86
10105,2023,Fictional Region,5462.95,24,227.62
10106,2020,Fictional Region,8908.28,29,307.18
10106,2021,Fictional Region,8846.71,37,239.1
10106,2022,Fictional Region,8328.44,36,231.35
10106,2023,Fictional Region,7694.52,42,183.2
10107,2020,Fictional Region,8018.38,58,138.25
10107,2021,Fictional Region,8892.68,61,145.78
10107,2022,Fictional Region,9448.41,64,147.63
10107,2023,Fictional Region,9710.32,62,156.62
10108,2020,Fictional Region,8689.54,28,310.34
10108,2021,Fictional Region,8012.37,18,445.13
10108,2022,Fictional Region,8943.27,30,298.11
10108,2023,Fictional Region,9503.1,26,365.5
10109,2020,Fictional Region,16567.42,21,788.92
10109,2021,Fictional Region,18901.5,13,1453.96
10109,2022,Fictional Region,22052.22,14,1575.16
10109,2023,Fictional Region,23104.11,15,1540.27
